Border,Date,Measure,Value,Average
US-Mexico Border,09/01/2016 12:00:00 AM,Personal Vehicles,6065043,5865537
US-Canada Border,09/01/2016 12:00:00 AM,Personal Vehicle Passengers,4394045,4228319
US-Mexico Border,09/01/2016 12:00:00 AM,Pedestrians,3447730,3209879
US-Canada Border,09/01/2016 12:00:00 AM,Personal Vehicles,2502081,2247497
US-Canada Border,09/01/2016 12:00:00 AM,Trucks,495657,482328
US-Mexico Border,09/01/2016 12:00:00 AM,Trucks,471916,462666
US-Canada Border,09/01/2016 12:00:00 AM,Truck Containers Full,403472,398964
US-Mexico Border,09/01/2016 12:00:00 AM,Truck Containers Full,331961,334163
US-Canada Border,09/01/2016 12:00:00 AM,Bus Passengers,201326,167195
US-Mexico Border,09/01/2016 12:00:00 AM,Truck Containers Empty,143004,131200
US-Mexico Border,09/01/2016 12:00:00 AM,Bus Passengers,136779,190358
US-Canada Border,09/01/2016 12:00:00 AM,Rail Containers Full,127779,128201
US-Canada Border,09/01/2016 12:00:00 AM,Truck Containers Empty,95423,100275
US-Canada Border,09/01/2016 12:00:00 AM,Rail Containers Empty,52239,52148
US-Canada Border,09/01/2016 12:00:00 AM,Pedestrians,50712,39876
US-Mexico Border,09/01/2016 12:00:00 AM,Rail Containers Empty,43032,39489
US-Mexico Border,09/01/2016 12:00:00 AM,Rail Containers Full,31384,40623
US-Canada Border,09/01/2016 12:00:00 AM,Train Passengers,29307,26604
US-Mexico Border,09/01/2016 12:00:00 AM,Buses,11975,14926
US-Canada Border,09/01/2016 12:00:00 AM,Buses,8209,7582
US-Canada Border,09/01/2016 12:00:00 AM,Trains,2166,2416
US-Mexico Border,09/01/2016 12:00:00 AM,Trains,548,790
US-Mexico Border,09/01/2016 12:00:00 AM,Train Passengers,297,1265
US-Mexico Border,08/01/2016 12:00:00 AM,Personal Vehicle Passengers,11815458,11157405
US-Canada Border,08/01/2016 12:00:00 AM,Personal Vehicle Passengers,6057557,3966999
US-Mexico Border,08/01/2016 12:00:00 AM,Personal Vehicles,6029924,5842054
US-Mexico Border,08/01/2016 12:00:00 AM,Pedestrians,3176288,3214678
US-Canada Border,08/01/2016 12:00:00 AM,Personal Vehicles,3003488,2139498
US-Canada Border,08/01/2016 12:00:00 AM,Trucks,522259,476623
US-Canada Border,08/01/2016 12:00:00 AM,Truck Containers Full,428497,394745
US-Mexico Border,08/01/2016 12:00:00 AM,Trucks,422188,468449
US-Mexico Border,08/01/2016 12:00:00 AM,Truck Containers Full,342217,333013
US-Canada Border,08/01/2016 12:00:00 AM,Bus Passengers,237896,157094
US-Mexico Border,08/01/2016 12:00:00 AM,Truck Containers Empty,141668,129705
US-Canada Border,08/01/2016 12:00:00 AM,Rail Containers Full,137058,126936
US-Canada Border,08/01/2016 12:00:00 AM,Truck Containers Empty,108874,99047
US-Mexico Border,08/01/2016 12:00:00 AM,Bus Passengers,96326,203792
US-Canada Border,08/01/2016 12:00:00 AM,Pedestrians,73314,35099
US-Canada Border,08/01/2016 12:00:00 AM,Rail Containers Empty,57065,51446
US-Canada Border,08/01/2016 12:00:00 AM,Train Passengers,46192,23806
US-Mexico Border,08/01/2016 12:00:00 AM,Rail Containers Full,41752,40462
US-Mexico Border,08/01/2016 12:00:00 AM,Rail Containers Empty,39184,39533
US-Mexico Border,08/01/2016 12:00:00 AM,Buses,14974,14919
US-Canada Border,08/01/2016 12:00:00 AM,Buses,9827,7262
US-Canada Border,08/01/2016 12:00:00 AM,Trains,2522,2401
US-Mexico Border,08/01/2016 12:00:00 AM,Train Passengers,1697,1204
US-Mexico Border,08/01/2016 12:00:00 AM,Trains,821,785
US-Mexico Border,07/01/2016 12:00:00 AM,Personal Vehicle Passengers,10663557,11239714
US-Mexico Border,07/01/2016 12:00:00 AM,Personal Vehicles,6250915,5773910
US-Canada Border,07/01/2016 12:00:00 AM,Personal Vehicle Passengers,6214635,3592393
US-Mexico Border,07/01/2016 12:00:00 AM,Pedestrians,3129755,3228832
US-Canada Border,07/01/2016 12:00:00 AM,Personal Vehicles,3069382,1984518
US-Canada Border,07/01/2016 12:00:00 AM,Trucks,445418,481824
US-Mexico Border,07/01/2016 12:00:00 AM,Trucks,423785,475893
US-Canada Border,07/01/2016 12:00:00 AM,Truck Containers Full,338246,404162
US-Mexico Border,07/01/2016 12:00:00 AM,Truck Containers Full,305316,337629
US-Mexico Border,07/01/2016 12:00:00 AM,Bus Passengers,263320,193870
US-Canada Border,07/01/2016 12:00:00 AM,Bus Passengers,244901,142460
US-Mexico Border,07/01/2016 12:00:00 AM,Truck Containers Empty,133566,129061
US-Canada Border,07/01/2016 12:00:00 AM,Rail Containers Full,122130,127737
US-Canada Border,07/01/2016 12:00:00 AM,Truck Containers Empty,82524,101801
US-Canada Border,07/01/2016 12:00:00 AM,Pedestrians,79516,27696
US-Canada Border,07/01/2016 12:00:00 AM,Rail Containers Empty,48664,51909
US-Canada Border,07/01/2016 12:00:00 AM,Train Passengers,46305,20056
US-Mexico Border,07/01/2016 12:00:00 AM,Rail Containers Full,42779,40076
US-Mexico Border,07/01/2016 12:00:00 AM,Rail Containers Empty,42067,39110
US-Mexico Border,07/01/2016 12:00:00 AM,Buses,15391,14840
US-Canada Border,07/01/2016 12:00:00 AM,Buses,10518,6719
US-Canada Border,07/01/2016 12:00:00 AM,Trains,2322,2414
US-Mexico Border,07/01/2016 12:00:00 AM,Train Passengers,1693,1122
US-Mexico Border,07/01/2016 12:00:00 AM,Trains,876,770
US-Mexico Border,06/01/2016 12:00:00 AM,Personal Vehicle Passengers,11312354,11225186
US-Mexico Border,06/01/2016 12:00:00 AM,Personal Vehicles,5909335,5746825
US-Canada Border,06/01/2016 12:00:00 AM,Personal Vehicle Passengers,4550513,3400769
US-Mexico Border,06/01/2016 12:00:00 AM,Pedestrians,3094923,3255614
US-Canada Border,06/01/2016 12:00:00 AM,Personal Vehicles,2099151,1961591
US-Canada Border,06/01/2016 12:00:00 AM,Trucks,517151,474759
US-Mexico Border,06/01/2016 12:00:00 AM,Trucks,493756,472320
US-Canada Border,06/01/2016 12:00:00 AM,Truck Containers Full,394393,406115
US-Mexico Border,06/01/2016 12:00:00 AM,Truck Containers Full,343995,336356
US-Canada Border,06/01/2016 12:00:00 AM,Bus Passengers,212458,128461
US-Mexico Border,06/01/2016 12:00:00 AM,Bus Passengers,180593,196526
US-Mexico Border,06/01/2016 12:00:00 AM,Truck Containers Empty,141069,126660
US-Canada Border,06/01/2016 12:00:00 AM,Rail Containers Full,116621,129960
US-Canada Border,06/01/2016 12:00:00 AM,Truck Containers Empty,98835,102394
US-Canada Border,06/01/2016 12:00:00 AM,Pedestrians,52868,22662
US-Canada Border,06/01/2016 12:00:00 AM,Rail Containers Empty,48600,52571
US-Mexico Border,06/01/2016 12:00:00 AM,Rail Containers Full,43394,39412
US-Canada Border,06/01/2016 12:00:00 AM,Train Passengers,39270,16213
US-Mexico Border,06/01/2016 12:00:00 AM,Rail Containers Empty,37247,39483
US-Mexico Border,06/01/2016 12:00:00 AM,Buses,14703,14868
US-Canada Border,06/01/2016 12:00:00 AM,Buses,9083,6246
US-Canada Border,06/01/2016 12:00:00 AM,Trains,2332,2431
US-Mexico Border,06/01/2016 12:00:00 AM,Train Passengers,1706,1006
US-Mexico Border,06/01/2016 12:00:00 AM,Trains,851,754
US-Mexico Border,05/01/2016 12:00:00 AM,Personal Vehicle Passengers,11489313,11159154
US-Mexico Border,05/01/2016 12:00:00 AM,Personal Vehicles,5418201,5828982
US-Canada Border,05/01/2016 12:00:00 AM,Personal Vehicle Passengers,4095897,3226988
US-Mexico Border,05/01/2016 12:00:00 AM,Pedestrians,3562234,3178959
US-Canada Border,05/01/2016 12:00:00 AM,Personal Vehicles,2330877,1869270
US-Mexico Border,05/01/2016 12:00:00 AM,Trucks,501367,465059
US-Canada Border,05/01/2016 12:00:00 AM,Trucks,489521,471068
US-Canada Border,05/01/2016 12:00:00 AM,Truck Containers Full,423061,401879
US-Mexico Border,05/01/2016 12:00:00 AM,Truck Containers Full,325099,339170
US-Canada Border,05/01/2016 12:00:00 AM,Bus Passengers,211714,107647
US-Mexico Border,05/01/2016 12:00:00 AM,Bus Passengers,202481,195037
US-Mexico Border,05/01/2016 12:00:00 AM,Truck Containers Empty,131107,125548
US-Canada Border,05/01/2016 12:00:00 AM,Rail Containers Full,129560,130060
US-Canada Border,05/01/2016 12:00:00 AM,Truck Containers Empty,108990,100745
US-Canada Border,05/01/2016 12:00:00 AM,Rail Containers Empty,58135,51180
US-Mexico Border,05/01/2016 12:00:00 AM,Rail Containers Full,45037,38006
US-Canada Border,05/01/2016 12:00:00 AM,Pedestrians,40201,18277
US-Mexico Border,05/01/2016 12:00:00 AM,Rail Containers Empty,39822,39398
US-Canada Border,05/01/2016 12:00:00 AM,Train Passengers,27583,13371
US-Mexico Border,05/01/2016 12:00:00 AM,Buses,12592,15437
US-Canada Border,05/01/2016 12:00:00 AM,Buses,9474,5439
US-Canada Border,05/01/2016 12:00:00 AM,Trains,2475,2420
US-Mexico Border,05/01/2016 12:00:00 AM,Train Passengers,1063,992
US-Mexico Border,05/01/2016 12:00:00 AM,Trains,624,787
US-Mexico Border,04/01/2016 12:00:00 AM,Personal Vehicle Passengers,10869463,11255718
US-Mexico Border,04/01/2016 12:00:00 AM,Personal Vehicles,5155626,6053434
US-Canada Border,04/01/2016 12:00:00 AM,Personal Vehicle Passengers,3457415,3150179
US-Mexico Border,04/01/2016 12:00:00 AM,Pedestrians,2819296,3298846
US-Canada Border,04/01/2016 12:00:00 AM,Personal Vehicles,2011846,1821745
US-Mexico Border,04/01/2016 12:00:00 AM,Trucks,506310,451308
US-Canada Border,04/01/2016 12:00:00 AM,Trucks,489167,465036
US-Canada Border,04/01/2016 12:00:00 AM,Truck Containers Full,384771,407582
US-Mexico Border,04/01/2016 12:00:00 AM,Truck Containers Full,369501,329060
US-Mexico Border,04/01/2016 12:00:00 AM,Bus Passengers,204185,191988
US-Mexico Border,04/01/2016 12:00:00 AM,Truck Containers Empty,143066,119709
US-Canada Border,04/01/2016 12:00:00 AM,Bus Passengers,132435,99385
US-Canada Border,04/01/2016 12:00:00 AM,Rail Containers Full,129661,130194
US-Canada Border,04/01/2016 12:00:00 AM,Truck Containers Empty,101055,100642
US-Canada Border,04/01/2016 12:00:00 AM,Rail Containers Empty,54922,49933
US-Mexico Border,04/01/2016 12:00:00 AM,Rail Containers Full,41915,36703
US-Mexico Border,04/01/2016 12:00:00 AM,Rail Containers Empty,40406,39063
US-Canada Border,04/01/2016 12:00:00 AM,Pedestrians,27101,15336
US-Mexico Border,04/01/2016 12:00:00 AM,Buses,15492,15419
US-Canada Border,04/01/2016 12:00:00 AM,Train Passengers,13990,13165
US-Canada Border,04/01/2016 12:00:00 AM,Buses,6448,5103
US-Canada Border,04/01/2016 12:00:00 AM,Trains,2414,2422
US-Mexico Border,04/01/2016 12:00:00 AM,Train Passengers,1082,962
US-Mexico Border,04/01/2016 12:00:00 AM,Trains,873,758
US-Mexico Border,03/01/2016 12:00:00 AM,Personal Vehicle Passengers,11976507,10895323
US-Mexico Border,03/01/2016 12:00:00 AM,Personal Vehicles,6127831,6016235
US-Mexico Border,03/01/2016 12:00:00 AM,Pedestrians,3564943,3165798
US-Canada Border,03/01/2016 12:00:00 AM,Personal Vehicle Passengers,3545997,2952270
US-Canada Border,03/01/2016 12:00:00 AM,Personal Vehicles,1982679,1741278
US-Canada Border,03/01/2016 12:00:00 AM,Trucks,515418,439845
US-Mexico Border,03/01/2016 12:00:00 AM,Trucks,492420,430753
US-Canada Border,03/01/2016 12:00:00 AM,Truck Containers Full,420545,401101
US-Mexico Border,03/01/2016 12:00:00 AM,Truck Containers Full,349548,318817
US-Mexico Border,03/01/2016 12:00:00 AM,Bus Passengers,203329,186318
US-Mexico Border,03/01/2016 12:00:00 AM,Truck Containers Empty,129386,114871
US-Canada Border,03/01/2016 12:00:00 AM,Rail Containers Full,123379,133601
US-Canada Border,03/01/2016 12:00:00 AM,Bus Passengers,109134,94511
US-Canada Border,03/01/2016 12:00:00 AM,Truck Containers Empty,101636,100146
US-Canada Border,03/01/2016 12:00:00 AM,Rail Containers Empty,54374,47713
US-Mexico Border,03/01/2016 12:00:00 AM,Rail Containers Full,42017,34046
US-Mexico Border,03/01/2016 12:00:00 AM,Rail Containers Empty,41706,37741
US-Canada Border,03/01/2016 12:00:00 AM,Pedestrians,19561,13223
US-Mexico Border,03/01/2016 12:00:00 AM,Buses,16342,14958
US-Canada Border,03/01/2016 12:00:00 AM,Train Passengers,15124,12186
US-Canada Border,03/01/2016 12:00:00 AM,Buses,5007,5152
US-Canada Border,03/01/2016 12:00:00 AM,Trains,2507,2379
US-Mexico Border,03/01/2016 12:00:00 AM,Train Passengers,1052,917
US-Mexico Border,03/01/2016 12:00:00 AM,Trains,862,707
US-Mexico Border,02/01/2016 12:00:00 AM,Personal Vehicle Passengers,10501488,11289159
US-Mexico Border,02/01/2016 12:00:00 AM,Personal Vehicles,5875567,6156904
US-Mexico Border,02/01/2016 12:00:00 AM,Pedestrians,3000136,3331461
US-Canada Border,02/01/2016 12:00:00 AM,Personal Vehicle Passengers,2802050,3102490
US-Canada Border,02/01/2016 12:00:00 AM,Personal Vehicles,1663866,1818690
US-Canada Border,02/01/2016 12:00:00 AM,Trucks,474370,405320
US-Mexico Border,02/01/2016 12:00:00 AM,Trucks,420567,440939
US-Canada Border,02/01/2016 12:00:00 AM,Truck Containers Full,401040,401162
US-Mexico Border,02/01/2016 12:00:00 AM,Truck Containers Full,327806,309828
US-Mexico Border,02/01/2016 12:00:00 AM,Bus Passengers,149235,223402
US-Canada Border,02/01/2016 12:00:00 AM,Rail Containers Full,131342,135861
US-Mexico Border,02/01/2016 12:00:00 AM,Truck Containers Empty,118241,111502
US-Canada Border,02/01/2016 12:00:00 AM,Truck Containers Empty,100000,100292
US-Canada Border,02/01/2016 12:00:00 AM,Bus Passengers,97397,91625
US-Canada Border,02/01/2016 12:00:00 AM,Rail Containers Empty,44879,50548
US-Mexico Border,02/01/2016 12:00:00 AM,Rail Containers Full,41405,26688
US-Mexico Border,02/01/2016 12:00:00 AM,Rail Containers Empty,37174,38309
US-Mexico Border,02/01/2016 12:00:00 AM,Buses,13634,16282
US-Canada Border,02/01/2016 12:00:00 AM,Pedestrians,12044,14403
US-Canada Border,02/01/2016 12:00:00 AM,Train Passengers,11837,12535
US-Canada Border,02/01/2016 12:00:00 AM,Buses,5152,5152
US-Canada Border,02/01/2016 12:00:00 AM,Trains,2320,2439
US-Mexico Border,02/01/2016 12:00:00 AM,Train Passengers,916,918
US-Mexico Border,02/01/2016 12:00:00 AM,Trains,831,583
US-Mexico Border,01/01/2016 12:00:00 AM,Personal Vehicle Passengers,11289159,0
US-Mexico Border,01/01/2016 12:00:00 AM,Personal Vehicles,6156904,0
US-Mexico Border,01/01/2016 12:00:00 AM,Pedestrians,3331461,0
US-Canada Border,01/01/2016 12:00:00 AM,Personal Vehicle Passengers,3102490,0
US-Canada Border,01/01/2016 12:00:00 AM,Personal Vehicles,1818690,0
US-Mexico Border,01/01/2016 12:00:00 AM,Trucks,440939,0
US-Canada Border,01/01/2016 12:00:00 AM,Trucks,405320,0
US-Canada Border,01/01/2016 12:00:00 AM,Truck Containers Full,401162,0
US-Mexico Border,01/01/2016 12:00:00 AM,Truck Containers Full,309828,0
US-Mexico Border,01/01/2016 12:00:00 AM,Bus Passengers,223402,0
US-Canada Border,01/01/2016 12:00:00 AM,Rail Containers Full,135861,0
US-Mexico Border,01/01/2016 12:00:00 AM,Truck Containers Empty,111502,0
US-Canada Border,01/01/2016 12:00:00 AM,Truck Containers Empty,100292,0
US-Canada Border,01/01/2016 12:00:00 AM,Bus Passengers,91625,0
US-Canada Border,01/01/2016 12:00:00 AM,Rail Containers Empty,50548,0
US-Mexico Border,01/01/2016 12:00:00 AM,Rail Containers Empty,38309,0
US-Mexico Border,01/01/2016 12:00:00 AM,Rail Containers Full,26688,0
US-Mexico Border,01/01/2016 12:00:00 AM,Buses,16282,0
US-Canada Border,01/01/2016 12:00:00 AM,Pedestrians,14403,0
US-Canada Border,01/01/2016 12:00:00 AM,Train Passengers,12535,0
US-Canada Border,01/01/2016 12:00:00 AM,Buses,5152,0
US-Canada Border,01/01/2016 12:00:00 AM,Trains,2439,0
US-Mexico Border,01/01/2016 12:00:00 AM,Train Passengers,918,0
US-Mexico Border,01/01/2016 12:00:00 AM,Trains,583,0
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,12614193,10788891
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicles,6165684,5977383
US-Mexico Border,12/01/2015 12:00:00 AM,Pedestrians,3503668,3207261
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,3006203,4350361
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicles,2051517,2405344
US-Mexico Border,12/01/2015 12:00:00 AM,Trucks,439136,439673
US-Canada Border,12/01/2015 12:00:00 AM,Trucks,431963,485718
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Full,321223,381193
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Full,302522,295383
US-Mexico Border,12/01/2015 12:00:00 AM,Bus Passengers,173918,197172
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Empty,132807,130024
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Full,129075,134013
US-Canada Border,12/01/2015 12:00:00 AM,Bus Passengers,109880,175213
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Empty,81838,109003
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Empty,49783,61392
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Full,39311,39561
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Empty,33311,34987
US-Mexico Border,12/01/2015 12:00:00 AM,Buses,18877,15705
US-Canada Border,12/01/2015 12:00:00 AM,Pedestrians,18648,38471
US-Canada Border,12/01/2015 12:00:00 AM,Train Passengers,9219,24441
US-Canada Border,12/01/2015 12:00:00 AM,Buses,5297,8199
US-Canada Border,12/01/2015 12:00:00 AM,Trains,2426,2543
US-Mexico Border,12/01/2015 12:00:00 AM,Train Passengers,979,708
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,844,830
US-Mexico Border,11/01/2015 12:00:00 AM,Personal Vehicle Passengers,10696985,10798082
US-Mexico Border,11/01/2015 12:00:00 AM,Personal Vehicles,6219986,5953123
US-Canada Border,11/01/2015 12:00:00 AM,Personal Vehicle Passengers,3507818,4434616
US-Mexico Border,11/01/2015 12:00:00 AM,Pedestrians,3270965,3200891
US-Canada Border,11/01/2015 12:00:00 AM,Personal Vehicles,2045244,2441354
US-Canada Border,11/01/2015 12:00:00 AM,Trucks,486513,485639
US-Mexico Border,11/01/2015 12:00:00 AM,Trucks,449882,438652
US-Canada Border,11/01/2015 12:00:00 AM,Truck Containers Full,382981,381014
US-Mexico Border,11/01/2015 12:00:00 AM,Truck Containers Full,196946,305227
US-Mexico Border,11/01/2015 12:00:00 AM,Bus Passengers,185505,198338
US-Canada Border,11/01/2015 12:00:00 AM,Rail Containers Full,129650,134449
US-Mexico Border,11/01/2015 12:00:00 AM,Truck Containers Empty,129449,130081
US-Canada Border,11/01/2015 12:00:00 AM,Bus Passengers,115394,181195
US-Canada Border,11/01/2015 12:00:00 AM,Truck Containers Empty,93427,110560
US-Canada Border,11/01/2015 12:00:00 AM,Rail Containers Empty,54134,62118
US-Mexico Border,11/01/2015 12:00:00 AM,Rail Containers Empty,40707,34415
US-Mexico Border,11/01/2015 12:00:00 AM,Rail Containers Full,38283,39689
US-Canada Border,11/01/2015 12:00:00 AM,Pedestrians,19487,40370
US-Mexico Border,11/01/2015 12:00:00 AM,Buses,17118,15564
US-Canada Border,11/01/2015 12:00:00 AM,Train Passengers,12255,25660
US-Canada Border,11/01/2015 12:00:00 AM,Buses,5544,8464
US-Canada Border,11/01/2015 12:00:00 AM,Trains,2490,2548
US-Mexico Border,11/01/2015 12:00:00 AM,Trains,837,829
US-Mexico Border,11/01/2015 12:00:00 AM,Train Passengers,281,751
US-Mexico Border,10/01/2015 12:00:00 AM,Personal Vehicle Passengers,9340201,10960069
US-Mexico Border,10/01/2015 12:00:00 AM,Personal Vehicles,6233563,5921963
US-Canada Border,10/01/2015 12:00:00 AM,Personal Vehicle Passengers,4020801,4480595
US-Mexico Border,10/01/2015 12:00:00 AM,Pedestrians,3454418,3172721
US-Canada Border,10/01/2015 12:00:00 AM,Personal Vehicles,2324351,2454355
US-Canada Border,10/01/2015 12:00:00 AM,Trucks,508650,483082
US-Mexico Border,10/01/2015 12:00:00 AM,Trucks,485789,433415
US-Canada Border,10/01/2015 12:00:00 AM,Truck Containers Full,385826,380480
US-Mexico Border,10/01/2015 12:00:00 AM,Truck Containers Full,328831,302605
US-Canada Border,10/01/2015 12:00:00 AM,Bus Passengers,176348,181733
US-Mexico Border,10/01/2015 12:00:00 AM,Bus Passengers,146616,204085
US-Canada Border,10/01/2015 12:00:00 AM,Rail Containers Full,140984,133723
US-Mexico Border,10/01/2015 12:00:00 AM,Truck Containers Empty,138668,129127
US-Canada Border,10/01/2015 12:00:00 AM,Truck Containers Empty,96107,112166
US-Canada Border,10/01/2015 12:00:00 AM,Rail Containers Empty,60353,62314
US-Canada Border,10/01/2015 12:00:00 AM,Pedestrians,51648,39117
US-Mexico Border,10/01/2015 12:00:00 AM,Rail Containers Full,42959,39325
US-Mexico Border,10/01/2015 12:00:00 AM,Rail Containers Empty,27851,35144
US-Mexico Border,10/01/2015 12:00:00 AM,Buses,17137,15389
US-Canada Border,10/01/2015 12:00:00 AM,Train Passengers,16452,26683
US-Canada Border,10/01/2015 12:00:00 AM,Buses,7597,8561
US-Canada Border,10/01/2015 12:00:00 AM,Trains,2709,2530
US-Mexico Border,10/01/2015 12:00:00 AM,Trains,858,826
US-Mexico Border,10/01/2015 12:00:00 AM,Train Passengers,322,798
US-Mexico Border,09/01/2015 12:00:00 AM,Personal Vehicle Passengers,10322620,11039750
US-Mexico Border,09/01/2015 12:00:00 AM,Personal Vehicles,5679581,5952260
US-Canada Border,09/01/2015 12:00:00 AM,Personal Vehicle Passengers,4354299,4496382
US-Mexico Border,09/01/2015 12:00:00 AM,Pedestrians,3132358,3177766
US-Canada Border,09/01/2015 12:00:00 AM,Personal Vehicles,2491861,2449666
US-Canada Border,09/01/2015 12:00:00 AM,Trucks,498967,481096
US-Canada Border,09/01/2015 12:00:00 AM,Truck Containers Full,410672,376706
US-Mexico Border,09/01/2015 12:00:00 AM,Truck Containers Full,318591,300606
US-Mexico Border,09/01/2015 12:00:00 AM,Trucks,285817,451865
US-Canada Border,09/01/2015 12:00:00 AM,Bus Passengers,218764,177104
US-Mexico Border,09/01/2015 12:00:00 AM,Bus Passengers,173903,207858
US-Mexico Border,09/01/2015 12:00:00 AM,Truck Containers Empty,132960,128648
US-Canada Border,09/01/2015 12:00:00 AM,Rail Containers Full,130992,134065
US-Canada Border,09/01/2015 12:00:00 AM,Truck Containers Empty,104450,113131
US-Canada Border,09/01/2015 12:00:00 AM,Rail Containers Empty,56083,63093
US-Canada Border,09/01/2015 12:00:00 AM,Pedestrians,45922,38266
US-Mexico Border,09/01/2015 12:00:00 AM,Rail Containers Empty,36013,35035
US-Mexico Border,09/01/2015 12:00:00 AM,Rail Containers Full,36003,39741
US-Canada Border,09/01/2015 12:00:00 AM,Train Passengers,31838,26039
US-Mexico Border,09/01/2015 12:00:00 AM,Buses,15430,15384
US-Canada Border,09/01/2015 12:00:00 AM,Buses,9425,8453
US-Canada Border,09/01/2015 12:00:00 AM,Trains,2373,2550
US-Mexico Border,09/01/2015 12:00:00 AM,Train Passengers,1058,766
US-Mexico Border,09/01/2015 12:00:00 AM,Trains,829,825
US-Mexico Border,08/01/2015 12:00:00 AM,Personal Vehicle Passengers,11665803,10950314
US-Canada Border,08/01/2015 12:00:00 AM,Personal Vehicle Passengers,6236671,4247769
US-Mexico Border,08/01/2015 12:00:00 AM,Personal Vehicles,6207806,5915754
US-Mexico Border,08/01/2015 12:00:00 AM,Pedestrians,3326897,3156462
US-Canada Border,08/01/2015 12:00:00 AM,Personal Vehicles,3091401,2357990
US-Canada Border,08/01/2015 12:00:00 AM,Trucks,479939,481262
US-Mexico Border,08/01/2015 12:00:00 AM,Trucks,431844,454725
US-Canada Border,08/01/2015 12:00:00 AM,Truck Containers Full,389892,374822
US-Canada Border,08/01/2015 12:00:00 AM,Bus Passengers,249317,166788
US-Mexico Border,08/01/2015 12:00:00 AM,Bus Passengers,220181,206098
US-Mexico Border,08/01/2015 12:00:00 AM,Truck Containers Full,185187,317095
US-Mexico Border,08/01/2015 12:00:00 AM,Truck Containers Empty,141313,126839
US-Canada Border,08/01/2015 12:00:00 AM,Rail Containers Full,135950,133795
US-Canada Border,08/01/2015 12:00:00 AM,Truck Containers Empty,109257,113684
US-Canada Border,08/01/2015 12:00:00 AM,Pedestrians,75643,32927
US-Canada Border,08/01/2015 12:00:00 AM,Rail Containers Empty,63845,62986
US-Canada Border,08/01/2015 12:00:00 AM,Train Passengers,44515,23399
US-Mexico Border,08/01/2015 12:00:00 AM,Rail Containers Full,42948,39283
US-Mexico Border,08/01/2015 12:00:00 AM,Rail Containers Empty,36920,34766
US-Mexico Border,08/01/2015 12:00:00 AM,Buses,18096,14996
US-Canada Border,08/01/2015 12:00:00 AM,Buses,10835,8113
US-Canada Border,08/01/2015 12:00:00 AM,Trains,2610,2541
US-Mexico Border,08/01/2015 12:00:00 AM,Train Passengers,1078,722
US-Mexico Border,08/01/2015 12:00:00 AM,Trains,866,820
US-Mexico Border,07/01/2015 12:00:00 AM,Personal Vehicle Passengers,11331919,10886713
US-Canada Border,07/01/2015 12:00:00 AM,Personal Vehicle Passengers,6037779,3949435
US-Mexico Border,07/01/2015 12:00:00 AM,Personal Vehicles,5647470,5960468
US-Canada Border,07/01/2015 12:00:00 AM,Personal Vehicles,3159330,2224433
US-Mexico Border,07/01/2015 12:00:00 AM,Pedestrians,2877255,3202997
US-Canada Border,07/01/2015 12:00:00 AM,Trucks,477106,481955
US-Mexico Border,07/01/2015 12:00:00 AM,Trucks,470243,452139
US-Canada Border,07/01/2015 12:00:00 AM,Truck Containers Full,380700,373843
US-Mexico Border,07/01/2015 12:00:00 AM,Truck Containers Full,324133,315922
US-Mexico Border,07/01/2015 12:00:00 AM,Bus Passengers,292913,191629
US-Canada Border,07/01/2015 12:00:00 AM,Bus Passengers,249163,153059
US-Mexico Border,07/01/2015 12:00:00 AM,Truck Containers Empty,143475,124066
US-Canada Border,07/01/2015 12:00:00 AM,Rail Containers Full,127074,134916
US-Canada Border,07/01/2015 12:00:00 AM,Truck Containers Empty,113248,113757
US-Canada Border,07/01/2015 12:00:00 AM,Pedestrians,73719,26128
US-Canada Border,07/01/2015 12:00:00 AM,Rail Containers Empty,61164,63290
US-Canada Border,07/01/2015 12:00:00 AM,Train Passengers,45820,19663
US-Mexico Border,07/01/2015 12:00:00 AM,Rail Containers Full,39746,39206
US-Mexico Border,07/01/2015 12:00:00 AM,Rail Containers Empty,35218,34691
US-Mexico Border,07/01/2015 12:00:00 AM,Buses,18610,14394
US-Canada Border,07/01/2015 12:00:00 AM,Buses,10982,7634
US-Canada Border,07/01/2015 12:00:00 AM,Trains,2513,2546
US-Mexico Border,07/01/2015 12:00:00 AM,Train Passengers,950,684
US-Mexico Border,07/01/2015 12:00:00 AM,Trains,854,814
US-Mexico Border,06/01/2015 12:00:00 AM,Personal Vehicle Passengers,11043535,10855349
US-Mexico Border,06/01/2015 12:00:00 AM,Personal Vehicles,6001109,5952340
